file location,file name,date,conditions,material,time
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-22-2024,CPC_A3_500hr.dpt,05-22-2024,A3,CPC,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-22-2024,O-PVF_A3_500hr.dpt,05-22-2024,A3,o-PVF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-22-2024,PPE_A3_500hr.dpt,05-22-2024,A3,PPE,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-22-2024,T-PVDF_A3_500hr.dpt,05-22-2024,A3,t-PVDF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-22-2024,T-PVF_A3_500hr.dpt,05-22-2024,A3,t-PVF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,CPC_0.5X_1000hr.dpt,12-18-2024,0.5X,CPC,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,CPC_1X_1000hr.dpt,12-18-2024,1X,CPC,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,CPC_2.5X_1000hr.dpt,12-18-2024,2.5X,CPC,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,CPC_5X_1000hr.dpt,12-18-2024,5X,CPC,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,J-BOX#1_0.5X_1000hr.dpt,12-18-2024,0.5X,J-BOX#1,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,J-BOX#1_1X_1000hr.dpt,12-18-2024,1X,J-BOX#1,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,J-BOX#1_2.5X_1000hr.dpt,12-18-2024,2.5X,J-BOX#1,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,J-BOX#1_5X_1000hr.dpt,12-18-2024,5X,J-BOX#1,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,J-BOX#2_0.5X_1000hr.dpt,12-18-2024,0.5X,J-BOX#2,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,J-BOX#2_1X_1000hr.dpt,12-18-2024,1X,J-BOX#2,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,J-BOX#2_2.5X_1000hr.dpt,12-18-2024,2.5X,J-BOX#2,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,J-BOX#2_5X_1000hr.dpt,12-18-2024,5X,J-BOX#2,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,O-PVF_0.5X_1000hr.dpt,12-18-2024,0.5X,o-PVF,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,O-PVF_1X_1000hr.dpt,12-18-2024,1X,o-PVF,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,O-PVF_2.5X_1000hr.dpt,12-18-2024,2.5X,o-PVF,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,O-PVF_5X_1000hr_1.dpt,12-18-2024,5X,o-PVF,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,PMMA_unexposed_1.dpt,12-18-2024,unexposed,PMMA,0
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,PMMA_unexposed_2.dpt,12-18-2024,unexposed,PMMA,0
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,PO_0.5X_1000hr.dpt,12-18-2024,0.5X,PO,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,PO_1X_1000hr.dpt,12-18-2024,1X,PO,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,PO_2.5X_1000hr.dpt,12-18-2024,2.5X,PO,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,PO_5X_1000hr.dpt,12-18-2024,5X,PO,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,PPE_0.5X_1000hr.dpt,12-18-2024,0.5X,PPE,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,PPE_1X_1000hr.dpt,12-18-2024,1X,PPE,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,PPE_2.5X_1000hr.dpt,12-18-2024,2.5X,PPE,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,PPE_5X_1000hr.dpt,12-18-2024,5X,PPE,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,T-PVDF_0.5X_1000hr.dpt,12-18-2024,0.5X,t-PVDF,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,T-PVDF_1X_1000hr.dpt,12-18-2024,1X,t-PVDF,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,T-PVDF_2.5X_1000hr.dpt,12-18-2024,2.5X,t-PVDF,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,T-PVDF_5X_1000hr.dpt,12-18-2024,5X,t-PVDF,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,T-PVF_0.5X_1000hr.dpt,12-18-2024,0.5X,t-PVF,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,T-PVF_1X_1000hr.dpt,12-18-2024,1X,t-PVF,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,T-PVF_2.5X_1000hr.dpt,12-18-2024,2.5X,t-PVF,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\12-18-2024,T-PVF_5X_1000hr.dpt,12-18-2024,5X,t-PVF,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_CPC_0.5X.dpt,05-12-2025,0.5X,CPC,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_CPC_1X.dpt,05-12-2025,1X,CPC,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_CPC_2.5X.dpt,05-12-2025,2.5X,CPC,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_J-BOX#1_0.5X.dpt,05-12-2025,0.5X,J-BOX#1,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_J-BOX#1_1X_1.dpt,05-12-2025,1X,J-BOX#1,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_J-BOX#1_2.5X.dpt,05-12-2025,2.5X,J-BOX#1,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_J-BOX#2_0.5X.dpt,05-12-2025,0.5X,J-BOX#2,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_J-BOX#2_1X.dpt,05-12-2025,1X,J-BOX#2,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_J-BOX#2_2.5X.dpt,05-12-2025,2.5X,J-BOX#2,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_O-PVF_0.5X.dpt,05-12-2025,0.5X,o-PVF,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_O-PVF_1X.dpt,05-12-2025,1X,o-PVF,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_O-PVF_2.5X.dpt,05-12-2025,2.5X,o-PVF,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_PO_0.5X.dpt,05-12-2025,0.5X,PO,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_PO_1X.dpt,05-12-2025,1X,PO,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_PO_2.5X.dpt,05-12-2025,2.5X,PO,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_PPE_0.5X.dpt,05-12-2025,0.5X,PPE,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_PPE_1X.dpt,05-12-2025,1X,PPE,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_PPE_2.5X.dpt,05-12-2025,2.5X,PPE,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_T-PVDF_0.5X.dpt,05-12-2025,0.5X,t-PVDF,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_T-PVDF_1X.dpt,05-12-2025,1X,t-PVDF,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_T-PVDF_2.5X.dpt,05-12-2025,2.5X,t-PVDF,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_T-PVF_0.5X.dpt,05-12-2025,0.5X,t-PVF,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_T-PVF_1X.dpt,05-12-2025,1X,t-PVF,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,4000hr_T-PVF_2.5X.dpt,05-12-2025,2.5X,t-PVF,4000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,PMMA_unexposed.dpt,05-12-2025,unexposed,PMMA,0
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,PMMA_unexposed_2.dpt,05-12-2025,unexposed,PMMA,0
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\05-12-2025,PMMA_unexposed_3.dpt,05-12-2025,unexposed,PMMA,0
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\04-29-2024,A4_500hr_t-PVF_1.dpt,04-29-2024,A4,t-PVF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\04-29-2024,A4_500hr_t-PVF_2.dpt,04-29-2024,A4,t-PVF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\04-29-2024,A4_500hr_t-PVF_3.dpt,04-29-2024,A4,t-PVF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\04-29-2024,A4_500hr_t-PVF_4.dpt,04-29-2024,A4,t-PVF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\04-26-2024,A4_500hr_o-PVF_1.dpt,04-26-2024,A4,o-PVF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\04-26-2024,A4_500hr_o-PVF_2.dpt,04-26-2024,A4,o-PVF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\04-26-2024,A4_500hr_o-PVF_3.dpt,04-26-2024,A4,o-PVF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\04-26-2024,A4_500hr_o-PVF_4.dpt,04-26-2024,A4,o-PVF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\04-26-2024,A4_500hr_PPE_1.dpt,04-26-2024,A4,PPE,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\04-26-2024,A4_500hr_PPE_2.dpt,04-26-2024,A4,PPE,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\04-26-2024,A4_500hr_PPE_3.dpt,04-26-2024,A4,PPE,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\04-26-2024,A4_500hr_PPE_4.dpt,04-26-2024,A4,PPE,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\04-26-2024,PMMA_unexposed.dpt,04-26-2024,unexposed,PMMA,0
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\06-06-2024,ARC_CPC_500hr.dpt,06-06-2024,ARC,CPC,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\06-06-2024,ARC_O-PVF_500hr.dpt,06-06-2024,ARC,o-PVF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\06-06-2024,ARC_PPE_500hr.dpt,06-06-2024,ARC,PPE,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\06-06-2024,ARC_T-PVDF_500hr.dpt,06-06-2024,ARC,t-PVDF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\06-06-2024,ARC_T-PVF_500hr.dpt,06-06-2024,ARC,t-PVF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\06-06-2024,KKCE_O-PVF_500hr.dpt,06-06-2024,KKCE,o-PVF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\06-06-2024,KKCE_PPE_500hr.dpt,06-06-2024,KKCE,PPE,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\06-06-2024,KKCE_T-PVDF_500hr.dpt,06-06-2024,KKCE,t-PVDF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\06-06-2024,OPN_CPC_500hr.dpt,06-06-2024,OPN,CPC,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\06-06-2024,OPN_O-PVF_500hr.dpt,06-06-2024,OPN,o-PVF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\06-06-2024,OPN_PPE_500hr.dpt,06-06-2024,OPN,PPE,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\06-06-2024,OPN_T-PVDF_500hr.dpt,06-06-2024,OPN,t-PVDF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\06-06-2024,OPN_T-PVF_500hr.dpt,06-06-2024,OPN,t-PVF,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\06-06-2024,pmma_unexposed.dpt,06-06-2024,unexposed,PMMA,0
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\06-06-2024,PMMA_unexposed_2.dpt,06-06-2024,unexposed,PMMA,0
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\09-25-2024,A3_PO_1000hr.dpt,09-25-2024,A3,PO,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\09-25-2024,A3_PO_500hr.dpt,09-25-2024,A3,PO,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\09-25-2024,A4_PO_1000hr_1.dpt,09-25-2024,A4,PO,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\09-25-2024,A4_PO_500hr.dpt,09-25-2024,A4,PO,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\09-25-2024,A5_PO_1000hr.dpt,09-25-2024,A5,PO,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\09-25-2024,A5_PO_500hr.dpt,09-25-2024,A5,PO,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\09-25-2024,ARC_500hr_PO.dpt,09-25-2024,ARC,PO,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\09-25-2024,ARC_PO_1000hr.dpt,09-25-2024,ARC,PO,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\09-25-2024,KKCE_500hr_PO.dpt,09-25-2024,KKCE,PO,500
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\09-25-2024,KKCE_PO_1000hr.dpt,09-25-2024,KKCE,PO,1000
Y:\5200\Packaging Reliability\Durability Tool\Ray Tracing and Activation Spectrum\ATR-FTIR Data\09-25-2024,OPN_500hr_PO.dpt,09-25-2024,OPN,PO,500
